GROUP,Image1,Image2,Image3,Image4,CorrectAnswer,Target,G_Target,Condition,Target AOI,Competitor AOI,NovelDistractor,ExistingDistrator,TargetOnset
1,EDcamel.bmp,ND_61.bmp,EDfish.bmp,EDsea.bmp,2,ND_nemok.wav,1_ND_nemok.wav,novelfiller,,,,,
2,EDcamel.bmp,ND_61.bmp,EDfish.bmp,EDsea.bmp,2,ND_nemok.wav,2_ND_nemok.wav,novelfiller,,,,,
3,EDcamel.bmp,ND_61.bmp,EDfish.bmp,EDsea.bmp,2,ND_nemok.wav,3_ND_nemok.wav,novelfiller,,,,,
4,EDcamel.bmp,ND_61.bmp,EDfish.bmp,EDsea.bmp,2,ND_nemok.wav,4_ND_nemok.wav,novelfiller,,,,,
5,EDcamel.bmp,ND_61.bmp,EDfish.bmp,EDsea.bmp,2,ND_nemok.wav,5_ND_nemok.wav,novelfiller,,,,,
6,EDcamel.bmp,ND_61.bmp,EDfish.bmp,EDsea.bmp,2,ND_nemok.wav,6_ND_nemok.wav,novelfiller,,,,,
7,EDcamel.bmp,ND_61.bmp,EDfish.bmp,EDsea.bmp,2,ND_nemok.wav,7_ND_nemok.wav,novelfiller,,,,,
8,EDcamel.bmp,ND_61.bmp,EDfish.bmp,EDsea.bmp,2,ND_nemok.wav,8_ND_nemok.wav,novelfiller,,,,,
1,EDcupboard.bmp,ND_78.bmp,EDpillow.bmp,EDrhino.bmp,2,ND_nishboka.wav,1_ND_nishboka.wav,novelfiller,,,,,
2,EDcupboard.bmp,ND_78.bmp,EDpillow.bmp,EDrhino.bmp,2,ND_nishboka.wav,2_ND_nishboka.wav,novelfiller,,,,,
3,EDcupboard.bmp,ND_78.bmp,EDpillow.bmp,EDrhino.bmp,2,ND_nishboka.wav,3_ND_nishboka.wav,novelfiller,,,,,
4,EDcupboard.bmp,ND_78.bmp,EDpillow.bmp,EDrhino.bmp,2,ND_nishboka.wav,4_ND_nishboka.wav,novelfiller,,,,,
5,EDcupboard.bmp,ND_78.bmp,EDpillow.bmp,EDrhino.bmp,2,ND_nishboka.wav,5_ND_nishboka.wav,novelfiller,,,,,
6,EDcupboard.bmp,ND_78.bmp,EDpillow.bmp,EDrhino.bmp,2,ND_nishboka.wav,6_ND_nishboka.wav,novelfiller,,,,,
7,EDcupboard.bmp,ND_78.bmp,EDpillow.bmp,EDrhino.bmp,2,ND_nishboka.wav,7_ND_nishboka.wav,novelfiller,,,,,
8,EDcupboard.bmp,ND_78.bmp,EDpillow.bmp,EDrhino.bmp,2,ND_nishboka.wav,8_ND_nishboka.wav,novelfiller,,,,,
1,EDblanket.bmp,ND_66.bmp,EDroad.bmp,EDpineapple.bmp,2,ND_nolcrid.wav,1_ND_nolcrid.wav,novelfiller,,,,,
2,EDblanket.bmp,ND_66.bmp,EDroad.bmp,EDpineapple.bmp,2,ND_nolcrid.wav,2_ND_nolcrid.wav,novelfiller,,,,,
3,EDblanket.bmp,ND_66.bmp,EDroad.bmp,EDpineapple.bmp,2,ND_nolcrid.wav,3_ND_nolcrid.wav,novelfiller,,,,,
